type,label,cnv_mean_uV@Cz,p3_mean_uV@Cz,cnv_gfp_uV,p3_gfp_uV
condition,short,-1.1080628840162564e-10,94.27550932988964,4.267544559170739,752.0216503445391
condition,long,-2.4858494856903654e-10,94.49440223066242,4.87337640445139,757.5045254327764
condition,surprise,4.431745836736174e-10,98.59984815717613,3.484298376034334,786.9120146863421
sequence,long_long,-1.351774924863913e-09,96.90493634274848,4.636564589573129,776.1225881185495
sequence,short_short,6.236382792399146e-10,102.38045533533493,4.217696520557601,820.3431897008483
sequence,long_short,-7.057213085320237e-10,86.56751085944543,4.786881398837595,686.8190601891099
sequence,short_long,2.321685410402804e-10,91.9608818026632,6.954069851526676,738.7642840363108
sequence,short_surprise,-3.5645004934703273e-10,106.92126505870428,4.45861830898668,849.5808229041688
sequence,surprise_long,1.975414242752155e-09,96.68440820643751,4.771000586433685,772.2959938664837
sequence,surprise_short,-1.5498231747119092e-09,89.6693143728509,5.304301750846835,714.7218974291316
sequence,long_surprise,2.8348453228158535e-10,91.12938695470275,4.9256001600568675,731.7609957036224
sequence,surprise_surprise,9.657250809926664e-09,80.49461154650703,9.156937141811289,635.9563365665874
